,Duration
t0001, 1 
t0002, 1 
t0003, 1 
t0004, 1 
t0005, 1 
t0006, 1 
t0007, 1 
t0008, 1 
t0009, 1 
t0010, 1 
t0011, 1 
t0012, 1 
t0013, 1 
t0014, 1 
t0015, 1 
t0016, 1 
t0017, 1 
t0018, 1 
t0019, 1 
t0020, 1 
t0021, 1 
t0022, 1 
t0023, 1 
t0024, 1 
t0025, 1 
t0026, 1 
t0027, 1 
t0028, 1 
t0029, 1 
t0030, 1 
t0031, 1 
t0032, 1 
t0033, 1 
t0034, 1 
t0035, 1 
t0036, 1 
t0037, 1 
t0038, 1 
t0039, 1 
t0040, 1 
t0041, 1 
t0042, 1 
t0043, 1 
t0044, 1 
t0045, 1 
t0046, 1 
t0047, 1 
t0048, 1 
t0049, 1 
t0050, 1 
t0051, 1 
t0052, 1 
t0053, 1 
t0054, 1 
t0055, 1 
t0056, 1 
t0057, 1 
t0058, 1 
t0059, 1 
t0060, 1 
t0061, 1 
t0062, 1 
t0063, 1 
t0064, 1 
t0065, 1 
t0066, 1 
t0067, 1 
t0068, 1 
t0069, 1 
t0070, 1 
t0071, 1 
t0072, 1 
t0073, 1 
t0074, 1 
t0075, 1 
t0076, 1 
t0077, 1 
t0078, 1 
t0079, 1 
t0080, 1 
t0081, 1 
t0082, 1 
t0083, 1 
t0084, 1 
t0085, 1 
t0086, 1 
t0087, 1 
t0088, 1 
t0089, 1 
t0090, 1 
t0091, 1 
t0092, 1 
t0093, 1 
t0094, 1 
t0095, 1 
t0096, 1 
t0097, 1 
t0098, 1 
t0099, 1 
t0100, 1 
t0101, 1 
t0102, 1 
t0103, 1 
t0104, 1 
t0105, 1 
t0106, 1 
t0107, 1 
t0108, 1 
t0109, 1 
t0110, 1 
t0111, 1 
t0112, 1 
t0113, 1 
t0114, 1 
t0115, 1 
t0116, 1 
t0117, 1 
t0118, 1 
t0119, 1 
t0120, 1 
t0121, 1 
t0122, 1 
t0123, 1 
t0124, 1 
t0125, 1 
t0126, 1 
t0127, 1 
t0128, 1 
t0129, 1 
t0130, 1 
t0131, 1 
t0132, 1 
t0133, 1 
t0134, 1 
t0135, 1 
t0136, 1 
t0137, 1 
t0138, 1 
t0139, 1 
t0140, 1 
t0141, 1 
t0142, 1 
t0143, 1 
t0144, 1 
t0145, 1 
t0146, 1 
t0147, 1 
t0148, 1 
t0149, 1 
t0150, 1 
t0151, 1 
t0152, 1 
t0153, 1 
t0154, 1 
t0155, 1 
t0156, 1 
t0157, 1 
t0158, 1 
t0159, 1 
t0160, 1 
t0161, 1 
t0162, 1 
t0163, 1 
t0164, 1 
t0165, 1 
t0166, 1 
t0167, 1 
t0168, 1 
t0169, 0 
t0170, 0 
t0171, 0 
t0172, 0 
t0173, 0 
t0174, 0 
t0175, 0 
t0176, 0 
t0177, 0 
t0178, 0 
t0179, 0 
t0180, 0 
t0181, 0 
t0182, 0 
t0183, 0 
t0184, 0 
t0185, 0 
t0186, 0 
t0187, 0 
t0188, 0 
t0189, 0 
t0190, 0 
t0191, 0 
t0192, 0 
t0193, 0 
t0194, 0 
t0195, 0 
t0196, 0 
t0197, 0 
t0198, 0 
t0199, 0 
t0200, 0 
t0201, 0 
t0202, 0 
t0203, 0 
t0204, 0 
t0205, 0 
t0206, 0 
t0207, 0 
t0208, 0 
t0209, 0 
t0210, 0 
t0211, 0 
t0212, 0 
t0213, 0 
t0214, 0 
t0215, 0 
t0216, 0 
t0217, 0 
t0218, 0 
t0219, 0 
t0220, 0 
t0221, 0 
t0222, 0 
t0223, 0 
t0224, 0 
t0225, 0 
t0226, 0 
t0227, 0 
t0228, 0 
t0229, 0 
t0230, 0 
t0231, 0 
t0232, 0 
t0233, 0 
t0234, 0 
t0235, 0 
t0236, 0 
t0237, 0 
t0238, 0 
t0239, 0 
t0240, 0 
t0241, 0 
t0242, 0 
t0243, 0 
t0244, 0 
t0245, 0 
t0246, 0 
t0247, 0 
t0248, 0 
t0249, 0 
t0250, 0 
t0251, 0 
t0252, 0 
t0253, 0 
t0254, 0 
t0255, 0 
t0256, 0 
t0257, 0 
t0258, 0 
t0259, 0 
t0260, 0 
t0261, 0 
t0262, 0 
t0263, 0 
t0264, 0 
t0265, 0 
t0266, 0 
t0267, 0 
t0268, 0 
t0269, 0 
t0270, 0 
t0271, 0 
t0272, 0 
t0273, 0 
t0274, 0 
t0275, 0 
t0276, 0 
t0277, 0 
t0278, 0 
t0279, 0 
t0280, 0 
t0281, 0 
t0282, 0 
t0283, 0 
t0284, 0 
t0285, 0 
t0286, 0 
t0287, 0 
t0288, 0 
t0289, 0 
t0290, 0 
t0291, 0 
t0292, 0 
t0293, 0 
t0294, 0 
t0295, 0 
t0296, 0 
t0297, 0 
t0298, 0 
t0299, 0 
t0300, 0 
t0301, 0 
t0302, 0 
t0303, 0 
t0304, 0 
t0305, 0 
t0306, 0 
t0307, 0 
t0308, 0 
t0309, 0 
t0310, 0 
t0311, 0 
t0312, 0 
t0313, 0 
t0314, 0 
t0315, 0 
t0316, 0 
t0317, 0 
t0318, 0 
t0319, 0 
t0320, 0 
t0321, 0 
t0322, 0 
t0323, 0 
t0324, 0 
t0325, 0 
t0326, 0 
t0327, 0 
t0328, 0 
t0329, 0 
t0330, 0 
t0331, 0 
t0332, 0 
t0333, 0 
t0334, 0 
t0335, 0 
t0336, 0 
t0337, 0 
t0338, 0 
t0339, 0 
t0340, 0 
t0341, 0 
t0342, 0 
t0343, 0 
t0344, 0 
t0345, 0 
t0346, 0 
t0347, 0 
t0348, 0 
t0349, 0 
t0350, 0 
t0351, 0 
t0352, 0 
t0353, 0 
t0354, 0 
t0355, 0 
t0356, 0 
t0357, 0 
t0358, 0 
t0359, 0 
t0360, 0 
t0361, 0 
t0362, 0 
t0363, 0 
t0364, 0 
t0365, 0 
t0366, 0 
t0367, 0 
t0368, 0 
t0369, 0 
t0370, 0 
t0371, 0 
t0372, 0 
t0373, 0 
t0374, 0 
t0375, 0 
t0376, 0 
t0377, 0 
t0378, 0 
t0379, 0 
t0380, 0 
t0381, 0 
t0382, 0 
t0383, 0 
t0384, 0 
t0385, 0 
t0386, 0 
t0387, 0 
t0388, 0 
t0389, 0 
t0390, 0 
t0391, 0 
t0392, 0 
t0393, 0 
t0394, 0 
t0395, 0 
t0396, 0 
t0397, 0 
t0398, 0 
t0399, 0 
t0400, 0 
t0401, 0 
t0402, 0 
t0403, 0 
t0404, 0 
t0405, 0 
t0406, 0 
t0407, 0 
t0408, 0 
t0409, 0 
t0410, 0 
t0411, 0 
t0412, 0 
t0413, 0 
t0414, 0 
t0415, 0 
t0416, 0 
t0417, 0 
t0418, 0 
t0419, 0 
t0420, 0 
t0421, 0 
t0422, 0 
t0423, 0 
t0424, 0 
t0425, 0 
t0426, 0 
t0427, 0 
t0428, 0 
t0429, 0 
t0430, 0 
t0431, 0 
t0432, 0 
t0433, 0 
t0434, 0 
t0435, 0 
t0436, 0 
t0437, 0 
t0438, 0 
t0439, 0 
t0440, 0 
t0441, 0 
t0442, 0 
t0443, 0 
t0444, 0 
t0445, 0 
t0446, 0 
t0447, 0 
t0448, 0 
t0449, 0 
t0450, 0 
t0451, 0 
t0452, 0 
t0453, 0 
t0454, 0 
t0455, 0 
t0456, 0 
t0457, 0 
t0458, 0 
t0459, 0 
t0460, 0 
t0461, 0 
t0462, 0 
t0463, 0 
t0464, 0 
t0465, 0 
t0466, 0 
t0467, 0 
t0468, 0 
t0469, 0 
t0470, 0 
t0471, 0 
t0472, 0 
t0473, 0 
t0474, 0 
t0475, 0 
t0476, 0 
t0477, 0 
t0478, 0 
t0479, 0 
t0480, 0 
t0481, 0 
t0482, 0 
t0483, 0 
t0484, 0 
t0485, 0 
t0486, 0 
t0487, 0 
t0488, 0 
t0489, 0 
t0490, 0 
t0491, 0 
t0492, 0 
t0493, 0 
t0494, 0 
t0495, 0 
t0496, 0 
t0497, 0 
t0498, 0 
t0499, 0 
t0500, 0 
t0501, 0 
t0502, 0 
t0503, 0 
t0504, 0 
t0505, 0 
t0506, 0 
t0507, 0 
t0508, 0 
t0509, 0 
t0510, 0 
t0511, 0 
t0512, 0 
t0513, 0 
t0514, 0 
t0515, 0 
t0516, 0 
t0517, 0 
t0518, 0 
t0519, 0 
t0520, 0 
t0521, 0 
t0522, 0 
t0523, 0 
t0524, 0 
t0525, 0 
t0526, 0 
t0527, 0 
t0528, 0 
t0529, 0 
t0530, 0 
t0531, 0 
t0532, 0 
t0533, 0 
t0534, 0 
t0535, 0 
t0536, 0 
t0537, 0 
t0538, 0 
t0539, 0 
t0540, 0 
t0541, 0 
t0542, 0 
t0543, 0 
t0544, 0 
t0545, 0 
t0546, 0 
t0547, 0 
t0548, 0 
t0549, 0 
t0550, 0 
t0551, 0 
t0552, 0 
t0553, 0 
t0554, 0 
t0555, 0 
t0556, 0 
t0557, 0 
t0558, 0 
t0559, 0 
t0560, 0 
t0561, 0 
t0562, 0 
t0563, 0 
t0564, 0 
t0565, 0 
t0566, 0 
t0567, 0 
t0568, 0 
