,,,Node1,Node2,Node3,Node4
period1,sc01,t0001,, 2.5 , 2.5 ,
period1,sc01,t0002,, 2.5 , 2.5 ,
period1,sc01,t0003,, 2.5 , 2.5 ,
period1,sc01,t0004,, 2.5 , 2.5 ,
period1,sc01,t0005,, 2.5 , 2.5 ,
period1,sc01,t0006,, 2.5 , 2.5 ,
period1,sc01,t0007,, 2.5 , 2.5 ,
period1,sc01,t0008,, 2.5 , 2.5 ,
period1,sc01,t0009,, 2.5 , 2.5 ,
period1,sc01,t0010,, 2.5 , 2.5 ,
period1,sc01,t0011,, 2.5 , 2.5 ,
period1,sc01,t0012,, 2.5 , 2.5 ,
period1,sc01,t0013,, 2.5 , 2.5 ,
period1,sc01,t0014,, 2.5 , 2.5 ,
period1,sc01,t0015,, 2.5 , 2.5 ,
period1,sc01,t0016,, 2.5 , 2.5 ,
period1,sc01,t0017,, 2.5 , 2.5 ,
period1,sc01,t0018,, 2.5 , 2.5 ,
period1,sc01,t0019,, 2.5 , 2.5 ,
period1,sc01,t0020,, 2.5 , 2.5 ,
period1,sc01,t0021,, 2.5 , 2.5 ,
period1,sc01,t0022,, 2.5 , 2.5 ,
period1,sc01,t0023,, 2.5 , 2.5 ,
period1,sc01,t0024,, 2.5 , 2.5 ,
period1,sc01,t0025,, 2.5 , 2.5 ,
period1,sc01,t0026,, 2.5 , 2.5 ,
period1,sc01,t0027,, 2.5 , 2.5 ,
period1,sc01,t0028,, 2.5 , 2.5 ,
period1,sc01,t0029,, 2.5 , 2.5 ,
period1,sc01,t0030,, 2.5 , 2.5 ,
period1,sc01,t0031,, 2.5 , 2.5 ,
period1,sc01,t0032,, 2.5 , 2.5 ,
period1,sc01,t0033,, 2.5 , 2.5 ,
period1,sc01,t0034,, 2.5 , 2.5 ,
period1,sc01,t0035,, 2.5 , 2.5 ,
period1,sc01,t0036,, 2.5 , 2.5 ,
period1,sc01,t0037,, 2.5 , 2.5 ,
period1,sc01,t0038,, 2.5 , 2.5 ,
period1,sc01,t0039,, 2.5 , 2.5 ,
period1,sc01,t0040,, 2.5 , 2.5 ,
period1,sc01,t0041,, 2.5 , 2.5 ,
period1,sc01,t0042,, 2.5 , 2.5 ,
period1,sc01,t0043,, 2.5 , 2.5 ,
period1,sc01,t0044,, 2.5 , 2.5 ,
period1,sc01,t0045,, 2.5 , 2.5 ,
period1,sc01,t0046,, 2.5 , 2.5 ,
period1,sc01,t0047,, 2.5 , 2.5 ,
period1,sc01,t0048,, 2.5 , 2.5 ,
period1,sc01,t0049,, 2.5 , 2.5 ,
period1,sc01,t0050,, 2.5 , 2.5 ,
