,,,Up_SR,Down_SR,Up_TR,Down_TR
period1,sc01,t0001, 100 , 100 ,,
period1,sc01,t0002, 100 , 100 ,,
period1,sc01,t0003, 100 , 100 ,,
period1,sc01,t0004, 100 , 100 ,,
period1,sc01,t0005, 100 , 100 ,,
period1,sc01,t0006, 100 , 100 ,,
period1,sc01,t0007, 100 , 100 ,,
period1,sc01,t0008, 100 , 100 ,,
period1,sc01,t0009, 100 , 100 ,,
period1,sc01,t0010, 100 , 100 ,,
period1,sc01,t0011, 100 , 100 ,,
period1,sc01,t0012, 100 , 100 ,,
period1,sc01,t0013, 100 , 100 ,,
period1,sc01,t0014, 100 , 100 ,,
period1,sc01,t0015, 100 , 100 ,,
period1,sc01,t0016, 100 , 100 ,,
period1,sc01,t0017, 100 , 100 ,,
period1,sc01,t0018, 100 , 100 ,,
period1,sc01,t0019, 100 , 100 ,,
period1,sc01,t0020, 100 , 100 ,,
period1,sc01,t0021, 100 , 100 ,,
period1,sc01,t0022, 100 , 100 ,,
period1,sc01,t0023, 100 , 100 ,,
period1,sc01,t0024, 100 , 100 ,,
period1,sc01,t0025, 100 , 100 ,,
period1,sc01,t0026, 100 , 100 ,,
period1,sc01,t0027, 100 , 100 ,,
period1,sc01,t0028, 100 , 100 ,,
period1,sc01,t0029, 100 , 100 ,,
period1,sc01,t0030, 100 , 100 ,,
period1,sc01,t0031, 100 , 100 ,,
period1,sc01,t0032, 100 , 100 ,,
period1,sc01,t0033, 100 , 100 ,,
period1,sc01,t0034, 100 , 100 ,,
period1,sc01,t0035, 100 , 100 ,,
period1,sc01,t0036, 100 , 100 ,,
period1,sc01,t0037, 100 , 100 ,,
period1,sc01,t0038, 100 , 100 ,,
period1,sc01,t0039, 100 , 100 ,,
period1,sc01,t0040, 100 , 100 ,,
period1,sc01,t0041, 100 , 100 ,,
period1,sc01,t0042, 100 , 100 ,,
period1,sc01,t0043, 100 , 100 ,,
period1,sc01,t0044, 100 , 100 ,,
period1,sc01,t0045, 100 , 100 ,,
period1,sc01,t0046, 100 , 100 ,,
period1,sc01,t0047, 100 , 100 ,,
period1,sc01,t0048, 100 , 100 ,,
period1,sc01,t0049, 100 , 100 ,,
period1,sc01,t0050, 100 , 100 ,,
period1,sc01,t0051, 100 , 100 ,,
period1,sc01,t0052, 100 , 100 ,,
period1,sc01,t0053, 100 , 100 ,,
period1,sc01,t0054, 100 , 100 ,,
period1,sc01,t0055, 100 , 100 ,,
period1,sc01,t0056, 100 , 100 ,,
period1,sc01,t0057, 100 , 100 ,,
period1,sc01,t0058, 100 , 100 ,,
period1,sc01,t0059, 100 , 100 ,,
period1,sc01,t0060, 100 , 100 ,,
period1,sc01,t0061, 100 , 100 ,,
period1,sc01,t0062, 100 , 100 ,,
period1,sc01,t0063, 100 , 100 ,,
period1,sc01,t0064, 100 , 100 ,,
period1,sc01,t0065, 100 , 100 ,,
period1,sc01,t0066, 100 , 100 ,,
period1,sc01,t0067, 100 , 100 ,,
period1,sc01,t0068, 100 , 100 ,,
period1,sc01,t0069, 100 , 100 ,,
period1,sc01,t0070, 100 , 100 ,,
period1,sc01,t0071, 100 , 100 ,,
period1,sc01,t0072, 100 , 100 ,,
period1,sc01,t0073, 100 , 100 ,,
period1,sc01,t0074, 100 , 100 ,,
period1,sc01,t0075, 100 , 100 ,,
period1,sc01,t0076, 100 , 100 ,,
period1,sc01,t0077, 100 , 100 ,,
period1,sc01,t0078, 100 , 100 ,,
period1,sc01,t0079, 100 , 100 ,,
period1,sc01,t0080, 100 , 100 ,,
period1,sc01,t0081, 100 , 100 ,,
period1,sc01,t0082, 100 , 100 ,,
period1,sc01,t0083, 100 , 100 ,,
period1,sc01,t0084, 100 , 100 ,,
period1,sc01,t0085, 100 , 100 ,,
period1,sc01,t0086, 100 , 100 ,,
period1,sc01,t0087, 100 , 100 ,,
period1,sc01,t0088, 100 , 100 ,,
period1,sc01,t0089, 100 , 100 ,,
period1,sc01,t0090, 100 , 100 ,,
period1,sc01,t0091, 100 , 100 ,,
period1,sc01,t0092, 100 , 100 ,,
period1,sc01,t0093, 100 , 100 ,,
period1,sc01,t0094, 100 , 100 ,,
period1,sc01,t0095, 100 , 100 ,,
period1,sc01,t0096, 100 , 100 ,,
period1,sc01,t0097, 100 , 100 ,,
period1,sc01,t0098, 100 , 100 ,,
period1,sc01,t0099, 100 , 100 ,,
period1,sc01,t0100, 100 , 100 ,,
period1,sc01,t0101, 100 , 100 ,,
period1,sc01,t0102, 100 , 100 ,,
period1,sc01,t0103, 100 , 100 ,,
period1,sc01,t0104, 100 , 100 ,,
period1,sc01,t0105, 100 , 100 ,,
period1,sc01,t0106, 100 , 100 ,,
period1,sc01,t0107, 100 , 100 ,,
period1,sc01,t0108, 100 , 100 ,,
period1,sc01,t0109, 100 , 100 ,,
period1,sc01,t0110, 100 , 100 ,,
period1,sc01,t0111, 100 , 100 ,,
period1,sc01,t0112, 100 , 100 ,,
period1,sc01,t0113, 100 , 100 ,,
period1,sc01,t0114, 100 , 100 ,,
period1,sc01,t0115, 100 , 100 ,,
period1,sc01,t0116, 100 , 100 ,,
period1,sc01,t0117, 100 , 100 ,,
period1,sc01,t0118, 100 , 100 ,,
period1,sc01,t0119, 100 , 100 ,,
period1,sc01,t0120, 100 , 100 ,,
period1,sc01,t0121, 100 , 100 ,,
period1,sc01,t0122, 100 , 100 ,,
period1,sc01,t0123, 100 , 100 ,,
period1,sc01,t0124, 100 , 100 ,,
period1,sc01,t0125, 100 , 100 ,,
period1,sc01,t0126, 100 , 100 ,,
period1,sc01,t0127, 100 , 100 ,,
period1,sc01,t0128, 100 , 100 ,,
period1,sc01,t0129, 100 , 100 ,,
period1,sc01,t0130, 100 , 100 ,,
period1,sc01,t0131, 100 , 100 ,,
period1,sc01,t0132, 100 , 100 ,,
period1,sc01,t0133, 100 , 100 ,,
period1,sc01,t0134, 100 , 100 ,,
period1,sc01,t0135, 100 , 100 ,,
period1,sc01,t0136, 100 , 100 ,,
period1,sc01,t0137, 100 , 100 ,,
period1,sc01,t0138, 100 , 100 ,,
period1,sc01,t0139, 100 , 100 ,,
period1,sc01,t0140, 100 , 100 ,,
period1,sc01,t0141, 100 , 100 ,,
period1,sc01,t0142, 100 , 100 ,,
period1,sc01,t0143, 100 , 100 ,,
