,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0001, 4.26397666666667E-06 , 10.8558252427184 ,,,
period1,sc01,t0002, 4.53614666666667E-06 , 10.6123300970874 ,,,
period1,sc01,t0003, 4.08253166666667E-06 , 9.96300970873786 ,,,
period1,sc01,t0004, 0.0000046268675 , 9.07019417475728 ,,,
period1,sc01,t0005, 0.000003901085 , 8.48174757281553 ,,,
period1,sc01,t0006, 6.71349583333333E-06 , 8.38029126213592 ,,,
period1,sc01,t0007, 0.000020049765 , 8.33970873786408 ,,,
period1,sc01,t0008, 0.000020049765 , 8.01504854368932 ,,,
period1,sc01,t0009, 0.000020049765 , 6.87873786407767 ,,,
period1,sc01,t0010, 2.13607020475 , 4.07854368932039 ,,,
period1,sc01,t0011, 5.4099337275 , 2.51611650485437 ,,,
period1,sc01,t0012, 7.416035185 , 1.70446601941748 ,,,
period1,sc01,t0013, 8.3337419575 , 0.892815533980582 ,,,
period1,sc01,t0014, 8.4557905925 , 0.324660194174757 ,,,
period1,sc01,t0015, 8.0062848425 , 8.11650485436893E-02 ,,,
period1,sc01,t0016, 6.7394046075 , 2.02912621359223E-02 ,,,
period1,sc01,t0017, 4.1579601775 , 0.060873786407767 ,,,
period1,sc01,t0018, 0.938998535 , 0.243495145631068 ,,,
period1,sc01,t0019, 1.45610283333333E-04 , 0.446407766990291 ,,,
period1,sc01,t0020, 1.42434983333333E-05 , 0.629029126213592 ,,,
period1,sc01,t0021, 0.000007620725 , 0.852233009708738 ,,,
period1,sc01,t0022, 0.000004173255 , 1.13631067961165 ,,,
period1,sc01,t0023, 3.99180916666667E-06 , 1.37980582524272 ,,,
period1,sc01,t0024, 4.08253166666667E-06 , 1.52184466019417 ,,,
period1,sc01,t0025, 4.08253166666667E-06 , 1.56242718446602 ,,,
period1,sc01,t0026, 4.08253166666667E-06 , 1.50155339805825 ,,,
period1,sc01,t0027, 3.71963916666667E-06 , 1.42038834951456 ,,,
period1,sc01,t0028, 5.35265333333333E-06 , 1.25805825242718 ,,,
period1,sc01,t0029, 5.08048333333333E-06 , 1.09572815533981 ,,,
period1,sc01,t0030, 5.89698916666667E-06 , 0.973980582524272 ,,,
period1,sc01,t0031, 0.0000217735 , 0.913106796116505 ,,,
period1,sc01,t0032, 0.000020049765 , 0.913106796116505 ,,,
period1,sc01,t0033, 0.000020049765 , 0.994271844660194 ,,,
period1,sc01,t0034, 2.29309252475 , 0.973980582524272 ,,,
period1,sc01,t0035, 5.4655241925 , 1.42038834951456 ,,,
period1,sc01,t0036, 7.3369048425 , 2.53640776699029 ,,,
period1,sc01,t0037, 8.1019521575 , 3.32776699029126 ,,,
period1,sc01,t0038, 8.070056705 , 3.75388349514563 ,,,
period1,sc01,t0039, 7.436341695 , 4.15970873786408 ,,,
period1,sc01,t0040, 5.988537285 , 4.46407766990291 ,,,
period1,sc01,t0041, 3.4836076525 , 4.7278640776699 ,,,
period1,sc01,t0042, 0.761756798 , 4.93077669902913 ,,,
period1,sc01,t0043, 1.73462219166667E-04 , 4.50466019417476 ,,,
period1,sc01,t0044, 0.00001397133 , 3.9973786407767 ,,,
period1,sc01,t0045, 7.43927916666667E-06 , 3.46980582524272 ,,,
period1,sc01,t0046, 0.000003901085 , 2.71902912621359 ,,,
period1,sc01,t0047, 3.99180916666667E-06 , 1.9073786407767 ,,,
period1,sc01,t0048, 3.71963916666667E-06 , 1.25805825242718 ,,,
period1,sc01,t0049, 3.81036333333333E-06 , 0.831941747572816 ,,,
period1,sc01,t0050, 3.44747166666667E-06 , 0.527572815533981 ,,,
period1,sc01,t0051, 4.08253166666667E-06 , 0.34495145631068 ,,,
period1,sc01,t0052, 4.08253166666667E-06 , 0.223203883495146 ,,,
period1,sc01,t0053, 0.000003901085 , 0.162330097087379 ,,,
period1,sc01,t0054, 7.34855666666667E-06 , 0.365242718446602 ,,,
period1,sc01,t0055, 0.00002204567 , 1.1768932038835 ,,,
period1,sc01,t0056, 0.000020049765 , 2.53640776699029 ,,,
period1,sc01,t0057, 0.000020049765 , 3.65242718446602 ,,,
period1,sc01,t0058, 2.30313827375 , 3.42922330097087 ,,,
period1,sc01,t0059, 5.7147926725 , 4.05825242718447 ,,,
period1,sc01,t0060, 7.6040003675 , 4.84961165048544 ,,,
period1,sc01,t0061, 8.3376530225 , 5.55980582524272 ,,,
period1,sc01,t0062, 8.440859415 , 6.59466019417476 ,,,
