Period,Scenario,LoadLevel,Node,Component,Date,MWh
period1,sc01,t8318,Node1,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Wind,2024-12-12 14:39:00,22.4928640776699
period1,sc01,t8318,Node1,BESS,2024-12-12 14:39:00,-5.0
period1,sc01,t8318,Node1,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,ENS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,ElectricityDemand,2024-12-12 14:39:00,-0.0
period1,sc01,t8318,Node1,ElectricityBuy,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node1,ElectricitySell,2024-12-12 14:39:00,-17.4928640776699
period1,sc01,t8318,Node1,PowerFlowOut,2024-12-12 14:39:00,-0.0
period1,sc01,t8318,Node1,PowerFlowIn,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,BESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Electrolyzer,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,H2ESS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,Wind,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,ENS,2024-12-12 14:39:00,0.0
period1,sc01,t8318,Node2,ElectricityDemand,2024-12-12 14:39:00,-0.0
period1,sc01,t8318,Node2,ElectricityBuy,2024-12-12 14:39:00,0.0
