,Period,Scenario,LoadLevel,Date,Component,MW
0,period1,sc01,t0001,2024-09-16 12:29:00,BESS,0.0
1,period1,sc01,t0001,2024-09-16 12:29:00,Wind,55.9075
2,period1,sc01,t0002,2024-09-16 13:29:00,BESS,0.0
3,period1,sc01,t0002,2024-09-16 13:29:00,Wind,54.6535
4,period1,sc01,t0003,2024-09-16 14:29:00,BESS,0.0
5,period1,sc01,t0003,2024-09-16 14:29:00,Wind,51.3095
6,period1,sc01,t0004,2024-09-16 15:29:00,BESS,0.0
7,period1,sc01,t0004,2024-09-16 15:29:00,Wind,46.7115
8,period1,sc01,t0005,2024-09-16 16:29:00,BESS,0.0
9,period1,sc01,t0005,2024-09-16 16:29:00,Wind,43.681
10,period1,sc01,t0006,2024-09-16 17:29:00,BESS,0.0
11,period1,sc01,t0006,2024-09-16 17:29:00,Wind,43.1585
12,period1,sc01,t0007,2024-09-16 18:29:00,BESS,0.0
13,period1,sc01,t0007,2024-09-16 18:29:00,Wind,42.9495
14,period1,sc01,t0008,2024-09-16 19:29:00,BESS,0.0
15,period1,sc01,t0008,2024-09-16 19:29:00,Wind,41.2775
16,period1,sc01,t0009,2024-09-16 20:29:00,BESS,0.0
17,period1,sc01,t0009,2024-09-16 20:29:00,Wind,35.4255
18,period1,sc01,t0010,2024-09-16 21:29:00,BESS,0.0
19,period1,sc01,t0010,2024-09-16 21:29:00,Wind,21.004500000000004
20,period1,sc01,t0011,2024-09-16 22:29:00,BESS,0.0
21,period1,sc01,t0011,2024-09-16 22:29:00,Wind,12.958
22,period1,sc01,t0012,2024-09-16 23:29:00,BESS,0.0
23,period1,sc01,t0012,2024-09-16 23:29:00,Wind,8.778
24,period1,sc01,t0013,2024-09-17 00:29:00,BESS,3.3642368288167215
25,period1,sc01,t0013,2024-09-17 00:29:00,Wind,4.598
26,period1,sc01,t0014,2024-09-17 01:29:00,BESS,6.290236828816709
27,period1,sc01,t0014,2024-09-17 01:29:00,Wind,1.672
28,period1,sc01,t0015,2024-09-17 02:29:00,BESS,7.544236828816716
29,period1,sc01,t0015,2024-09-17 02:29:00,Wind,0.418
30,period1,sc01,t0016,2024-09-17 03:29:00,BESS,7.85773682881671
31,period1,sc01,t0016,2024-09-17 03:29:00,Wind,0.1045
32,period1,sc01,t0017,2024-09-17 04:29:00,BESS,7.648736828816713
33,period1,sc01,t0017,2024-09-17 04:29:00,Wind,0.31350000000000006
34,period1,sc01,t0018,2024-09-17 05:29:00,BESS,6.708236828816704
35,period1,sc01,t0018,2024-09-17 05:29:00,Wind,1.2540000000000002
36,period1,sc01,t0019,2024-09-17 06:29:00,BESS,5.663236828816704
37,period1,sc01,t0019,2024-09-17 06:29:00,Wind,2.299
38,period1,sc01,t0020,2024-09-17 07:29:00,BESS,50.0
39,period1,sc01,t0020,2024-09-17 07:29:00,Wind,3.2395
40,period1,sc01,t0021,2024-09-17 08:29:00,BESS,50.0
41,period1,sc01,t0021,2024-09-17 08:29:00,Wind,4.389
42,period1,sc01,t0022,2024-09-17 09:29:00,BESS,12.640229102844334
43,period1,sc01,t0022,2024-09-17 09:29:00,Wind,5.852
44,period1,sc01,t0023,2024-09-17 10:29:00,BESS,0.8562368288167035
45,period1,sc01,t0023,2024-09-17 10:29:00,Wind,7.106000000000001
46,period1,sc01,t0024,2024-09-17 11:29:00,BESS,0.12473682881670653
47,period1,sc01,t0024,2024-09-17 11:29:00,Wind,7.8375
48,period1,sc01,t0025,2024-09-17 12:29:00,BESS,0.0
49,period1,sc01,t0025,2024-09-17 12:29:00,Wind,8.0465
50,period1,sc01,t0026,2024-09-17 13:29:00,BESS,0.0
51,period1,sc01,t0026,2024-09-17 13:29:00,Wind,7.733
52,period1,sc01,t0027,2024-09-17 14:29:00,BESS,0.0
53,period1,sc01,t0027,2024-09-17 14:29:00,Wind,7.315
54,period1,sc01,t0028,2024-09-17 15:29:00,BESS,0.0
55,period1,sc01,t0028,2024-09-17 15:29:00,Wind,6.479
56,period1,sc01,t0029,2024-09-17 16:29:00,BESS,0.0
57,period1,sc01,t0029,2024-09-17 16:29:00,Wind,5.643
58,period1,sc01,t0030,2024-09-17 17:29:00,BESS,0.0
59,period1,sc01,t0030,2024-09-17 17:29:00,Wind,5.016000000000001
60,period1,sc01,t0031,2024-09-17 18:29:00,BESS,3.259736828816707
61,period1,sc01,t0031,2024-09-17 18:29:00,Wind,4.7025
62,period1,sc01,t0032,2024-09-17 19:29:00,BESS,3.259736828816707
63,period1,sc01,t0032,2024-09-17 19:29:00,Wind,4.7025
64,period1,sc01,t0033,2024-09-17 20:29:00,BESS,2.8417368288167073
65,period1,sc01,t0033,2024-09-17 20:29:00,Wind,5.1205
66,period1,sc01,t0034,2024-09-17 21:29:00,BESS,2.9462368288167067
67,period1,sc01,t0034,2024-09-17 21:29:00,Wind,5.016000000000001
68,period1,sc01,t0035,2024-09-17 22:29:00,BESS,0.647236828816707
69,period1,sc01,t0035,2024-09-17 22:29:00,Wind,7.315
70,period1,sc01,t0036,2024-09-17 23:29:00,BESS,0.0
71,period1,sc01,t0036,2024-09-17 23:29:00,Wind,13.0625
72,period1,sc01,t0037,2024-09-18 00:29:00,BESS,0.0
73,period1,sc01,t0037,2024-09-18 00:29:00,Wind,17.138
