Period,Scenario,LoadLevel,Node,Component,Date,tH2
period1,sc01,t0001,Node1,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,HNS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,HydrogenDemand,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node1,HydrogenBuy,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,HydrogenSell,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node1,HydrogenFlowOut,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node1,HydrogenFlowIn,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,Electrolyzer,2024-09-16 12:29:00,0.14012792459182125
period1,sc01,t0001,Node2,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,HNS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,HydrogenDemand,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node2,HydrogenBuy,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node2,HydrogenSell,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node2,HydrogenFlowOut,2024-09-16 12:29:00,-0.14012792459182125
period1,sc01,t0001,Node2,HydrogenFlowIn,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,H2ESS,2024-09-16 12:29:00,-0.10012792459182134
period1,sc01,t0001,Node3,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,BESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,Electrolyzer,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,H2ESS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,Wind,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,HNS,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,HydrogenDemand,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node3,HydrogenBuy,2024-09-16 12:29:00,0.0
period1,sc01,t0001,Node3,HydrogenSell,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node3,HydrogenFlowOut,2024-09-16 12:29:00,-0.039999999999999904
