Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0001,Node2,Node3,p1,2024-09-16 12:29:00,0.14012792459182125
period1,sc01,t0001,Node2,Node4,p1,2024-09-16 12:29:00,-0.0
period1,sc01,t0001,Node3,Node4,p1,2024-09-16 12:29:00,0.039999999999999904
period1,sc01,t0002,Node2,Node3,p1,2024-09-16 13:29:00,0.14012792459182102
period1,sc01,t0002,Node2,Node4,p1,2024-09-16 13:29:00,-0.0
period1,sc01,t0002,Node3,Node4,p1,2024-09-16 13:29:00,0.129999999999999
period1,sc01,t0003,Node2,Node3,p1,2024-09-16 14:29:00,0.14012792459182044
period1,sc01,t0003,Node2,Node4,p1,2024-09-16 14:29:00,-0.0
period1,sc01,t0003,Node3,Node4,p1,2024-09-16 14:29:00,0.039999999999999904
period1,sc01,t0004,Node2,Node3,p1,2024-09-16 15:29:00,0.1401279245918206
period1,sc01,t0004,Node2,Node4,p1,2024-09-16 15:29:00,-0.0
period1,sc01,t0004,Node3,Node4,p1,2024-09-16 15:29:00,0.129999999999999
period1,sc01,t0005,Node2,Node3,p1,2024-09-16 16:29:00,0.1401279245918204
period1,sc01,t0005,Node2,Node4,p1,2024-09-16 16:29:00,-0.0
period1,sc01,t0005,Node3,Node4,p1,2024-09-16 16:29:00,0.22
period1,sc01,t0006,Node2,Node3,p1,2024-09-16 17:29:00,0.14012792459182052
period1,sc01,t0006,Node2,Node4,p1,2024-09-16 17:29:00,-0.0
period1,sc01,t0006,Node3,Node4,p1,2024-09-16 17:29:00,0.129999999999999
period1,sc01,t0007,Node2,Node3,p1,2024-09-16 18:29:00,0.1401279245918211
period1,sc01,t0007,Node2,Node4,p1,2024-09-16 18:29:00,-0.0
period1,sc01,t0007,Node3,Node4,p1,2024-09-16 18:29:00,0.039999999999999904
period1,sc01,t0008,Node2,Node3,p1,2024-09-16 19:29:00,0.14012792459182052
period1,sc01,t0008,Node2,Node4,p1,2024-09-16 19:29:00,-0.0
period1,sc01,t0008,Node3,Node4,p1,2024-09-16 19:29:00,0.129999999999999
period1,sc01,t0009,Node2,Node3,p1,2024-09-16 20:29:00,0.14012792459182066
period1,sc01,t0009,Node2,Node4,p1,2024-09-16 20:29:00,-0.0
period1,sc01,t0009,Node3,Node4,p1,2024-09-16 20:29:00,0.039999999999999904
period1,sc01,t0010,Node2,Node3,p1,2024-09-16 21:29:00,0.14012792459182066
period1,sc01,t0010,Node2,Node4,p1,2024-09-16 21:29:00,-0.0
period1,sc01,t0010,Node3,Node4,p1,2024-09-16 21:29:00,0.129999999999999
period1,sc01,t0011,Node2,Node3,p1,2024-09-16 22:29:00,0.14012792459182052
period1,sc01,t0011,Node2,Node4,p1,2024-09-16 22:29:00,-0.0
period1,sc01,t0011,Node3,Node4,p1,2024-09-16 22:29:00,0.22
period1,sc01,t0012,Node2,Node3,p1,2024-09-16 23:29:00,0.14012792459182008
period1,sc01,t0012,Node2,Node4,p1,2024-09-16 23:29:00,-0.0
period1,sc01,t0012,Node3,Node4,p1,2024-09-16 23:29:00,0.129999999999999
period1,sc01,t0013,Node2,Node3,p1,2024-09-17 00:29:00,0.14012792459181994
period1,sc01,t0013,Node2,Node4,p1,2024-09-17 00:29:00,-0.0
period1,sc01,t0013,Node3,Node4,p1,2024-09-17 00:29:00,0.05
period1,sc01,t0014,Node2,Node3,p1,2024-09-17 01:29:00,0.14012792459181975
period1,sc01,t0014,Node2,Node4,p1,2024-09-17 01:29:00,-0.0
period1,sc01,t0014,Node3,Node4,p1,2024-09-17 01:29:00,0.129999999999999
period1,sc01,t0015,Node2,Node3,p1,2024-09-17 02:29:00,0.14012792459181986
period1,sc01,t0015,Node2,Node4,p1,2024-09-17 02:29:00,-0.0
period1,sc01,t0015,Node3,Node4,p1,2024-09-17 02:29:00,0.22
period1,sc01,t0016,Node2,Node3,p1,2024-09-17 03:29:00,0.14012792459181977
period1,sc01,t0016,Node2,Node4,p1,2024-09-17 03:29:00,-0.0
period1,sc01,t0016,Node3,Node4,p1,2024-09-17 03:29:00,0.129999999999999
period1,sc01,t0017,Node2,Node3,p1,2024-09-17 04:29:00,0.1401279245918198
period1,sc01,t0017,Node2,Node4,p1,2024-09-17 04:29:00,-0.0
period1,sc01,t0017,Node3,Node4,p1,2024-09-17 04:29:00,0.129999999999999
period1,sc01,t0018,Node2,Node3,p1,2024-09-17 05:29:00,0.14012792459181964
period1,sc01,t0018,Node2,Node4,p1,2024-09-17 05:29:00,-0.0
period1,sc01,t0018,Node3,Node4,p1,2024-09-17 05:29:00,0.039999999999999904
