Period,Scenario,LoadLevel,Unit,Component,Date,MW
period1,sc01,t0001,BESS_01,vEleReserveCons_Up_SR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveCons_Up_TR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveCons_Down_SR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveCons_Down_TR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveProd_Up_SR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveProd_Up_TR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveProd_Down_SR,2024-09-16 12:29:00,0.0
period1,sc01,t0001,BESS_01,vEleReserveProd_Down_TR,2024-09-16 12:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveCons_Up_SR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveCons_Up_TR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveCons_Down_SR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveCons_Down_TR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveProd_Up_SR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveProd_Up_TR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveProd_Down_SR,2024-09-16 13:29:00,0.0
period1,sc01,t0002,BESS_01,vEleReserveProd_Down_TR,2024-09-16 13:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveCons_Up_SR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveCons_Up_TR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveCons_Down_SR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveCons_Down_TR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveProd_Up_SR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveProd_Up_TR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveProd_Down_SR,2024-09-16 14:29:00,0.0
period1,sc01,t0003,BESS_01,vEleReserveProd_Down_TR,2024-09-16 14:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveCons_Up_SR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveCons_Up_TR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveCons_Down_SR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveCons_Down_TR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveProd_Up_SR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveProd_Up_TR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveProd_Down_SR,2024-09-16 15:29:00,0.0
period1,sc01,t0004,BESS_01,vEleReserveProd_Down_TR,2024-09-16 15:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveCons_Up_SR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveCons_Up_TR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveCons_Down_SR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveCons_Down_TR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveProd_Up_SR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveProd_Up_TR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveProd_Down_SR,2024-09-16 16:29:00,0.0
period1,sc01,t0005,BESS_01,vEleReserveProd_Down_TR,2024-09-16 16:29:00,0.0
