Period,Scenario,LoadLevel,Component,Date,MEUR
period1,sc01,t0001,TotalMCost,2024-09-16 12:29:00,-0.003206579200888733
period1,sc01,t0001,TotalGCost,2024-09-16 12:29:00,0.020891053157990384
period1,sc01,t0001,TotalECost,2024-09-16 12:29:00,0.0
period1,sc01,t0001,TotalCCost,2024-09-16 12:29:00,0.0
period1,sc01,t0001,TotalRCost,2024-09-16 12:29:00,-0.0
period1,sc01,t0002,TotalMCost,2024-09-16 13:29:00,-0.003081623369298093
period1,sc01,t0002,TotalGCost,2024-09-16 13:29:00,8.92449608701094e-05
period1,sc01,t0002,TotalECost,2024-09-16 13:29:00,0.0
period1,sc01,t0002,TotalCCost,2024-09-16 13:29:00,0.0
period1,sc01,t0002,TotalRCost,2024-09-16 13:29:00,-0.0
period1,sc01,t0003,TotalMCost,2024-09-16 14:29:00,-0.0027586198282141022
period1,sc01,t0003,TotalGCost,2024-09-16 14:29:00,8.68348731901094e-05
period1,sc01,t0003,TotalECost,2024-09-16 14:29:00,0.0
period1,sc01,t0003,TotalCCost,2024-09-16 14:29:00,0.0
period1,sc01,t0003,TotalRCost,2024-09-16 14:29:00,-0.0
period1,sc01,t0004,TotalMCost,2024-09-16 15:29:00,0.0
period1,sc01,t0004,TotalGCost,2024-09-16 15:29:00,8.35210026301094e-05
period1,sc01,t0004,TotalECost,2024-09-16 15:29:00,0.0
period1,sc01,t0004,TotalCCost,2024-09-16 15:29:00,0.0
period1,sc01,t0004,TotalRCost,2024-09-16 15:29:00,-0.0
period1,sc01,t0005,TotalMCost,2024-09-16 16:29:00,0.0
period1,sc01,t0005,TotalGCost,2024-09-16 16:29:00,8.13368606701094e-05
period1,sc01,t0005,TotalECost,2024-09-16 16:29:00,0.0
period1,sc01,t0005,TotalCCost,2024-09-16 16:29:00,0.0
period1,sc01,t0005,TotalRCost,2024-09-16 16:29:00,-0.0
period1,sc01,t0006,TotalMCost,2024-09-16 17:29:00,0.0
period1,sc01,t0006,TotalGCost,2024-09-16 17:29:00,8.09602844701094e-05
period1,sc01,t0006,TotalECost,2024-09-16 17:29:00,0.0
period1,sc01,t0006,TotalCCost,2024-09-16 17:29:00,0.0
period1,sc01,t0006,TotalRCost,2024-09-16 17:29:00,-0.0
period1,sc01,t0007,TotalMCost,2024-09-16 18:29:00,-0.0021373719071275826
period1,sc01,t0007,TotalGCost,2024-09-16 18:29:00,8.08096539901094e-05
period1,sc01,t0007,TotalECost,2024-09-16 18:29:00,0.0
period1,sc01,t0007,TotalCCost,2024-09-16 18:29:00,0.0
period1,sc01,t0007,TotalRCost,2024-09-16 18:29:00,-0.0
period1,sc01,t0008,TotalMCost,2024-09-16 19:29:00,-0.0020325642060738903
period1,sc01,t0008,TotalGCost,2024-09-16 19:29:00,7.960461015010941e-05
period1,sc01,t0008,TotalECost,2024-09-16 19:29:00,0.0
period1,sc01,t0008,TotalCCost,2024-09-16 19:29:00,0.0
period1,sc01,t0008,TotalRCost,2024-09-16 19:29:00,-0.0
period1,sc01,t0009,TotalMCost,2024-09-16 20:29:00,-0.0016752590534421775
period1,sc01,t0009,TotalGCost,2024-09-16 20:29:00,7.538695671010941e-05
period1,sc01,t0009,TotalECost,2024-09-16 20:29:00,0.0
period1,sc01,t0009,TotalCCost,2024-09-16 20:29:00,0.0
period1,sc01,t0009,TotalRCost,2024-09-16 20:29:00,-0.0
period1,sc01,t0010,TotalMCost,2024-09-16 21:29:00,-0.0008216625797845441
period1,sc01,t0010,TotalGCost,2024-09-16 21:29:00,6.499345359010941e-05
period1,sc01,t0010,TotalECost,2024-09-16 21:29:00,0.0
period1,sc01,t0010,TotalCCost,2024-09-16 21:29:00,0.0
period1,sc01,t0010,TotalRCost,2024-09-16 21:29:00,-0.0
period1,sc01,t0011,TotalMCost,2024-09-16 22:29:00,-0.0003147330797845445
period1,sc01,t0011,TotalGCost,2024-09-16 22:29:00,5.91941801101094e-05
period1,sc01,t0011,TotalECost,2024-09-16 22:29:00,0.0
period1,sc01,t0011,TotalCCost,2024-09-16 22:29:00,0.0
period1,sc01,t0011,TotalRCost,2024-09-16 22:29:00,-0.0
period1,sc01,t0012,TotalMCost,2024-09-16 23:29:00,-5.223331585086497e-05
period1,sc01,t0012,TotalGCost,2024-09-16 23:29:00,5.61815705101094e-05
period1,sc01,t0012,TotalECost,2024-09-16 23:29:00,0.0
period1,sc01,t0012,TotalCCost,2024-09-16 23:29:00,0.0
period1,sc01,t0012,TotalRCost,2024-09-16 23:29:00,-0.0
period1,sc01,t0013,TotalMCost,2024-09-17 00:29:00,0.0
period1,sc01,t0013,TotalGCost,2024-09-17 00:29:00,5.31689609101094e-05
period1,sc01,t0013,TotalECost,2024-09-17 00:29:00,0.0
period1,sc01,t0013,TotalCCost,2024-09-17 00:29:00,0.0
period1,sc01,t0013,TotalRCost,2024-09-17 00:29:00,-0.0
period1,sc01,t0014,TotalMCost,2024-09-17 01:29:00,0.0
period1,sc01,t0014,TotalGCost,2024-09-17 01:29:00,5.1060134190109405e-05
period1,sc01,t0014,TotalECost,2024-09-17 01:29:00,0.0
period1,sc01,t0014,TotalCCost,2024-09-17 01:29:00,0.0
period1,sc01,t0014,TotalRCost,2024-09-17 01:29:00,-0.0
period1,sc01,t0015,TotalMCost,2024-09-17 02:29:00,0.0
period1,sc01,t0015,TotalGCost,2024-09-17 02:29:00,5.01563513101094e-05
period1,sc01,t0015,TotalECost,2024-09-17 02:29:00,0.0
period1,sc01,t0015,TotalCCost,2024-09-17 02:29:00,0.0
period1,sc01,t0015,TotalRCost,2024-09-17 02:29:00,-0.0
period1,sc01,t0016,TotalMCost,2024-09-17 03:29:00,0.0
period1,sc01,t0016,TotalGCost,2024-09-17 03:29:00,4.99304055901094e-05
period1,sc01,t0016,TotalECost,2024-09-17 03:29:00,0.0
period1,sc01,t0016,TotalCCost,2024-09-17 03:29:00,0.0
period1,sc01,t0016,TotalRCost,2024-09-17 03:29:00,-0.0
period1,sc01,t0017,TotalMCost,2024-09-17 04:29:00,0.0
period1,sc01,t0017,TotalGCost,2024-09-17 04:29:00,5.00810360701094e-05
period1,sc01,t0017,TotalECost,2024-09-17 04:29:00,0.0
period1,sc01,t0017,TotalCCost,2024-09-17 04:29:00,0.0
period1,sc01,t0017,TotalRCost,2024-09-17 04:29:00,-0.0
period1,sc01,t0018,TotalMCost,2024-09-17 05:29:00,0.0
period1,sc01,t0018,TotalGCost,2024-09-17 05:29:00,5.07588732301094e-05
period1,sc01,t0018,TotalECost,2024-09-17 05:29:00,0.0
period1,sc01,t0018,TotalCCost,2024-09-17 05:29:00,0.0
period1,sc01,t0018,TotalRCost,2024-09-17 05:29:00,-0.0
period1,sc01,t0019,TotalMCost,2024-09-17 06:29:00,0.0
period1,sc01,t0019,TotalGCost,2024-09-17 06:29:00,5.15120256301094e-05
period1,sc01,t0019,TotalECost,2024-09-17 06:29:00,0.0
period1,sc01,t0019,TotalCCost,2024-09-17 06:29:00,0.0
period1,sc01,t0019,TotalRCost,2024-09-17 06:29:00,-0.0
period1,sc01,t0020,TotalMCost,2024-09-17 07:29:00,-0.0030453487208937885
period1,sc01,t0020,TotalGCost,2024-09-17 07:29:00,5.21898627901094e-05
period1,sc01,t0020,TotalECost,2024-09-17 07:29:00,0.0
period1,sc01,t0020,TotalCCost,2024-09-17 07:29:00,0.0
period1,sc01,t0020,TotalRCost,2024-09-17 07:29:00,-0.0
period1,sc01,t0021,TotalMCost,2024-09-17 08:29:00,-0.003160269769062447
period1,sc01,t0021,TotalGCost,2024-09-17 08:29:00,5.30183304301094e-05
period1,sc01,t0021,TotalECost,2024-09-17 08:29:00,0.0
period1,sc01,t0021,TotalCCost,2024-09-17 08:29:00,0.0
period1,sc01,t0021,TotalRCost,2024-09-17 08:29:00,-0.0
period1,sc01,t0022,TotalMCost,2024-09-17 09:29:00,-0.0007063518817417734
period1,sc01,t0022,TotalGCost,2024-09-17 09:29:00,5.4072743790109405e-05
period1,sc01,t0022,TotalECost,2024-09-17 09:29:00,0.0
period1,sc01,t0022,TotalCCost,2024-09-17 09:29:00,0.0
period1,sc01,t0022,TotalRCost,2024-09-17 09:29:00,-0.0
period1,sc01,t0023,TotalMCost,2024-09-17 10:29:00,0.0
period1,sc01,t0023,TotalGCost,2024-09-17 10:29:00,5.4976526670109404e-05
period1,sc01,t0023,TotalECost,2024-09-17 10:29:00,0.0
period1,sc01,t0023,TotalCCost,2024-09-17 10:29:00,0.0
period1,sc01,t0023,TotalRCost,2024-09-17 10:29:00,-0.0
period1,sc01,t0024,TotalMCost,2024-09-17 11:29:00,0.0
period1,sc01,t0024,TotalGCost,2024-09-17 11:29:00,5.5503733350109406e-05
period1,sc01,t0024,TotalECost,2024-09-17 11:29:00,0.0
period1,sc01,t0024,TotalCCost,2024-09-17 11:29:00,0.0
period1,sc01,t0024,TotalRCost,2024-09-17 11:29:00,-0.0
period1,sc01,t0025,TotalMCost,2024-09-17 12:29:00,0.0
period1,sc01,t0025,TotalGCost,2024-09-17 12:29:00,5.5654363830109404e-05
period1,sc01,t0025,TotalECost,2024-09-17 12:29:00,0.0
period1,sc01,t0025,TotalCCost,2024-09-17 12:29:00,0.0
period1,sc01,t0025,TotalRCost,2024-09-17 12:29:00,-0.0
period1,sc01,t0026,TotalMCost,2024-09-17 13:29:00,0.001951654798114214
period1,sc01,t0026,TotalGCost,2024-09-17 13:29:00,5.54284181101094e-05
period1,sc01,t0026,TotalECost,2024-09-17 13:29:00,0.0
period1,sc01,t0026,TotalCCost,2024-09-17 13:29:00,0.0
period1,sc01,t0026,TotalRCost,2024-09-17 13:29:00,-0.0
period1,sc01,t0027,TotalMCost,2024-09-17 14:29:00,0.002951875
period1,sc01,t0027,TotalGCost,2024-09-17 14:29:00,5.51271571501094e-05
period1,sc01,t0027,TotalECost,2024-09-17 14:29:00,0.0
period1,sc01,t0027,TotalCCost,2024-09-17 14:29:00,0.0
period1,sc01,t0027,TotalRCost,2024-09-17 14:29:00,-0.0
period1,sc01,t0028,TotalMCost,2024-09-17 15:29:00,0.0028275
period1,sc01,t0028,TotalGCost,2024-09-17 15:29:00,5.45246352301094e-05
period1,sc01,t0028,TotalECost,2024-09-17 15:29:00,0.0
period1,sc01,t0028,TotalCCost,2024-09-17 15:29:00,0.0
period1,sc01,t0028,TotalRCost,2024-09-17 15:29:00,-0.0
period1,sc01,t0029,TotalMCost,2024-09-17 16:29:00,0.0028562500000000003
