,,,Up_SR,Down_SR,Up_TR,Down_TR
period1,sc01,t0001, 0 , 0 ,,
period1,sc01,t0002, 0 , 0 ,,
period1,sc01,t0003, 0 , 0 ,,
period1,sc01,t0004, 0 , 0 ,,
period1,sc01,t0005, 0 , 0 ,,
period1,sc01,t0006, 0 , 0 ,,
period1,sc01,t0007, 0 , 0 ,,
period1,sc01,t0008, 0 , 0 ,,
period1,sc01,t0009, 0 , 0 ,,
period1,sc01,t0010, 0 , 0 ,,
period1,sc01,t0011, 0 , 0 ,,
period1,sc01,t0012, 0 , 0 ,,
period1,sc01,t0013, 0 , 0 ,,
period1,sc01,t0014, 0 , 0 ,,
period1,sc01,t0015, 0 , 0 ,,
period1,sc01,t0016, 0 , 0 ,,
period1,sc01,t0017, 0 , 0 ,,
period1,sc01,t0018, 0 , 0 ,,
period1,sc01,t0019, 0 , 0 ,,
period1,sc01,t0020, 0 , 0 ,,
period1,sc01,t0021, 0 , 0 ,,
period1,sc01,t0022, 0 , 0 ,,
period1,sc01,t0023, 0 , 0 ,,
period1,sc01,t0024, 0 , 0 ,,
period1,sc01,t0025, 0 , 0 ,,
period1,sc01,t0026, 0 , 0 ,,
period1,sc01,t0027, 0 , 0 ,,
period1,sc01,t0028, 0 , 0 ,,
period1,sc01,t0029, 0 , 0 ,,
period1,sc01,t0030, 0 , 0 ,,
period1,sc01,t0031, 0 , 0 ,,
period1,sc01,t0032, 0 , 0 ,,
period1,sc01,t0033, 0 , 0 ,,
period1,sc01,t0034, 0 , 0 ,,
period1,sc01,t0035, 0 , 0 ,,
period1,sc01,t0036, 0 , 0 ,,
period1,sc01,t0037, 0 , 0 ,,
period1,sc01,t0038, 0 , 0 ,,
period1,sc01,t0039, 0 , 0 ,,
period1,sc01,t0040, 0 , 0 ,,
period1,sc01,t0041, 0 , 0 ,,
period1,sc01,t0042, 0 , 0 ,,
period1,sc01,t0043, 0 , 0 ,,
period1,sc01,t0044, 0 , 0 ,,
period1,sc01,t0045, 0 , 0 ,,
period1,sc01,t0046, 0 , 0 ,,
period1,sc01,t0047, 0 , 0 ,,
period1,sc01,t0048, 0 , 0 ,,
period1,sc01,t0049, 0 , 0 ,,
period1,sc01,t0050, 0 , 0 ,,
period1,sc01,t0051, 0 , 0 ,,
period1,sc01,t0052, 0 , 0 ,,
period1,sc01,t0053, 0 , 0 ,,
period1,sc01,t0054, 0 , 0 ,,
period1,sc01,t0055, 0 , 0 ,,
period1,sc01,t0056, 0 , 0 ,,
period1,sc01,t0057, 0 , 0 ,,
period1,sc01,t0058, 0 , 0 ,,
period1,sc01,t0059, 0 , 0 ,,
period1,sc01,t0060, 0 , 0 ,,
period1,sc01,t0061, 0 , 0 ,,
