,,,Up_SR,Down_SR,Up_TR,Down_TR
period1,sc01,t0001, 52.2 , 49.54 ,,
period1,sc01,t0002, 51.94 , 50.94 ,,
period1,sc01,t0003, 53.25 , 43 ,,
period1,sc01,t0004, 52.03 , 40 ,,
period1,sc01,t0005, 52.63 , 46.78 ,,
period1,sc01,t0006, 57.93 , 60.96 ,,
period1,sc01,t0007, 57 , 40 ,,
period1,sc01,t0008, 45.94 , 38.81 ,,
period1,sc01,t0009, 56.39 , 40 ,,
period1,sc01,t0010, 59.4 , 52 ,,
period1,sc01,t0011, 51.45 , 42 ,,
period1,sc01,t0012, 56.9 , 59.87 ,,
period1,sc01,t0013, 58.76 , 53.88 ,,
period1,sc01,t0014, 58.9 , 49.48 ,,
period1,sc01,t0015, 58.72 , 39.01 ,,
period1,sc01,t0016, 56.39 , 42 ,,
period1,sc01,t0017, 54.38 , 45.31 ,,
period1,sc01,t0018, 57 , 40 ,,
period1,sc01,t0019, 58 , 45 ,,
period1,sc01,t0020, 64 , 46.4 ,,
period1,sc01,t0021, 64 , 41 ,,
period1,sc01,t0022, 54.87 , 48.1 ,,
period1,sc01,t0023, 55 , 40 ,,
period1,sc01,t0024, 55.67 , 52.53 ,,
period1,sc01,t0025, 57.43 , 60.81 ,,
period1,sc01,t0026, 54.32 , 50.83 ,,
period1,sc01,t0027, 53.67 , 55.48 ,,
period1,sc01,t0028, 55.98 , 47 ,,
period1,sc01,t0029, 61 , 40 ,,
period1,sc01,t0030, 63.65 , 52.41 ,,
period1,sc01,t0031, 64.65 ,,,
period1,sc01,t0032, 65 , 53.13 ,,
period1,sc01,t0033, 66 , 59.07 ,,
period1,sc01,t0034, 63.65 , 54.33 ,,
period1,sc01,t0035, 66.55 , 54.45 ,,
period1,sc01,t0036, 66.55 , 51.45 ,,
period1,sc01,t0037, 64.15 , 58.95 ,,
period1,sc01,t0038, 60.81 , 56 ,,
period1,sc01,t0039, 62.17 ,,,
period1,sc01,t0040, 61 , 53 ,,
period1,sc01,t0041, 59.5 , 56.91 ,,
period1,sc01,t0042, 58.57 , 55.26 ,,
period1,sc01,t0043, 62.17 , 52.98 ,,
period1,sc01,t0044, 65 , 54.35 ,,
period1,sc01,t0045, 63.65 , 59.91 ,,
period1,sc01,t0046, 63.15 , 51.82 ,,
period1,sc01,t0047, 61.11 , 53.54 ,,
period1,sc01,t0048, 61.11 , 59.82 ,,
period1,sc01,t0049, 61.33 , 62.1 ,,
period1,sc01,t0050, 61.11 , 59.17 ,,
period1,sc01,t0051, 59.37 , 59.07 ,,
period1,sc01,t0052, 58.91 , 59.01 ,,
period1,sc01,t0053, 58.97 , 54.61 ,,
period1,sc01,t0054, 64.9 , 47.22 ,,
period1,sc01,t0055, 79.1 , 52.1 ,,
period1,sc01,t0056, 61.5 , 54.61 ,,
period1,sc01,t0057, 63.04 , 58.01 ,,
period1,sc01,t0058, 56.98 , 53.02 ,,
period1,sc01,t0059, 57.52 , 52.51 ,,
period1,sc01,t0060, 63.04 , 52.83 ,,
period1,sc01,t0061, 59.07 , 57.17 ,,
period1,sc01,t0062, 60.81 , 51.25 ,,
period1,sc01,t0063, 56.98 , 56.48 ,,
period1,sc01,t0064, 57.77 , 55.23 ,,
period1,sc01,t0065, 57.37 , 54.49 ,,
period1,sc01,t0066, 56.37 , 50.74 ,,
period1,sc01,t0067, 55.37 , 53.15 ,,
period1,sc01,t0068, 64.1 , 40.97 ,,
period1,sc01,t0069, 61.77 , 50.41 ,,
period1,sc01,t0070, 63.77 , 51.96 ,,
period1,sc01,t0071, 60.07 , 51.08 ,,
period1,sc01,t0072, 59.4 , 51.1 ,,
period1,sc01,t0073, 57.25 , 51.1 ,,
period1,sc01,t0074, 56.41 , 51.1 ,,
period1,sc01,t0075, 54.85 , 47 ,,
period1,sc01,t0076, 54.07 , 39.7 ,,
period1,sc01,t0077, 54.07 , 46.1 ,,
period1,sc01,t0078, 58.87 , 49.94 ,,
period1,sc01,t0079, 57.55 , 52.14 ,,
period1,sc01,t0080, 57.59 , 55 ,,
period1,sc01,t0081, 63.5 , 45.18 ,,
period1,sc01,t0082, 65 , 41.1 ,,
period1,sc01,t0083, 52.24 , 39.9 ,,
period1,sc01,t0084, 55.11 , 55 ,,
period1,sc01,t0085, 55.26 , 53 ,,
period1,sc01,t0086, 51.45 , 48.13 ,,
period1,sc01,t0087, 49.9 , 43 ,,
period1,sc01,t0088, 48.71 , 38.61 ,,
period1,sc01,t0089, 48.05 , 42.68 ,,
period1,sc01,t0090, 47.04 , 45.44 ,,
period1,sc01,t0091, 54.45 , 46.32 ,,
period1,sc01,t0092, 59.4 , 38.61 ,,
period1,sc01,t0093, 56.35 , 39.9 ,,
period1,sc01,t0094, 55.47 , 39.8 ,,
period1,sc01,t0095, 56.11 , 33.23 ,,
period1,sc01,t0096, 46.9 , 46.05 ,,
period1,sc01,t0097, 53.9 , 52.01 ,,
period1,sc01,t0098, 46 , 42.1 ,,
period1,sc01,t0099, 50.22 , 42.1 ,,
period1,sc01,t0100, 49.86 , 50.67 ,,
period1,sc01,t0101, 50 , 48 ,,
period1,sc01,t0102, 58.9 , 46 ,,
period1,sc01,t0103, 70 , 48 ,,
period1,sc01,t0104, 60.98 , 59.86 ,,
period1,sc01,t0105, 61.81 , 60.44 ,,
period1,sc01,t0106, 60.9 , 44.94 ,,
period1,sc01,t0107, 55.63 , 50.02 ,,
period1,sc01,t0108, 54.45 , 47.46 ,,
period1,sc01,t0109, 36 , 34.61 ,,
period1,sc01,t0110, 58 , 24.55 ,,
period1,sc01,t0111, 48.98 , 42.3 ,,
period1,sc01,t0112, 51.66 , 35.98 ,,
period1,sc01,t0113, 55.02 , 42.1 ,,
period1,sc01,t0114, 58.99 , 39.95 ,,
period1,sc01,t0115, 53.79 , 53.51 ,,
period1,sc01,t0116, 60 , 47 ,,
period1,sc01,t0117, 59.4 , 44 ,,
period1,sc01,t0118, 59.92 , 48 ,,
period1,sc01,t0119, 56.55 , 44.7 ,,
period1,sc01,t0120, 55.23 , 41.68 ,,
period1,sc01,t0121, 56.48 , 52.55 ,,
period1,sc01,t0122, 55.73 , 40.76 ,,
period1,sc01,t0123, 55.48 , 41.03 ,,
period1,sc01,t0124, 60.1 , 23.23 ,,
period1,sc01,t0125, 61.11 , 54.92 ,,
period1,sc01,t0126, 60.9 , 55 ,,
period1,sc01,t0127, 61.11 , 58.43 ,,
period1,sc01,t0128, 63.15 , 56.48 ,,
period1,sc01,t0129, 54.61 , 50 ,,
period1,sc01,t0130, 61.11 , 55.44 ,,
period1,sc01,t0131, 60.5 , 55.13 ,,
period1,sc01,t0132, 61.11 , 54.07 ,,
period1,sc01,t0133, 61.11 , 49.8 ,,
period1,sc01,t0134, 60.26 , 54.61 ,,
period1,sc01,t0135, 62.37 , 48.6 ,,
period1,sc01,t0136, 59.77 , 54.61 ,,
period1,sc01,t0137, 62.77 , 52.44 ,,
period1,sc01,t0138, 62.77 , 34.38 ,,
period1,sc01,t0139, 55.35 , 50.57 ,,
period1,sc01,t0140, 59.77 , 45.67 ,,
period1,sc01,t0141, 51.82 , 50.57 ,,
period1,sc01,t0142, 58.9 , 51.51 ,,
period1,sc01,t0143, 59.47 , 45.68 ,,
period1,sc01,t0144, 55.48 , 38.61 ,,
period1,sc01,t0145, 47.61 , 38.5 ,,
period1,sc01,t0146, 48.53 , 43.69 ,,
period1,sc01,t0147, 47.61 , 37.27 ,,
period1,sc01,t0148, 56.55 , 43.69 ,,
period1,sc01,t0149, 63.15 , 42.03 ,,
period1,sc01,t0150, 58.36 , 44.06 ,,
period1,sc01,t0151, 61.41 , 46.51 ,,
period1,sc01,t0152, 61.51 , 49.15 ,,
period1,sc01,t0153, 57.5 , 45.18 ,,
period1,sc01,t0154, 58 , 37.61 ,,
period1,sc01,t0155, 58 ,,,
period1,sc01,t0156, 60 , 37.91 ,,
