,,,SolarPV_01,BESS_01,AEL_01,PEMEL_01,HEMEL_01,H2Tank_01
period1,sc01,t0001, 0.000010233544 ,,,,,
period1,sc01,t0002, 0.000010886752 ,,,,,
period1,sc01,t0003, 0.000009798076 ,,,,,
period1,sc01,t0004, 0.000011104482 ,,,,,
period1,sc01,t0005, 0.000009362604 ,,,,,
period1,sc01,t0006, 0.00001611239 ,,,,,
period1,sc01,t0007, 0.000048119436 ,,,,,
period1,sc01,t0008, 0.000048119436 ,,,,,
period1,sc01,t0009, 0.000048119436 ,,,,,
period1,sc01,t0010, 5.1265684914 ,,,,,
period1,sc01,t0011, 12.983840946 ,,,,,
period1,sc01,t0012, 17.798484444 ,,,,,
period1,sc01,t0013, 20.000980698 ,,,,,
period1,sc01,t0014, 20.293897422 ,,,,,
period1,sc01,t0015, 19.215083622 ,,,,,
period1,sc01,t0016, 16.174571058 ,,,,,
period1,sc01,t0017, 9.979104426 ,,,,,
period1,sc01,t0018, 2.253596484 ,,,,,
period1,sc01,t0019, 0.00034946468 ,,,,,
period1,sc01,t0020, 0.000034184396 ,,,,,
period1,sc01,t0021, 0.00001828974 ,,,,,
period1,sc01,t0022, 0.000010015812 ,,,,,
period1,sc01,t0023, 0.000009580342 ,,,,,
period1,sc01,t0024, 0.000009798076 ,,,,,
period1,sc01,t0025, 0.000009798076 ,,,,,
period1,sc01,t0026, 0.000009798076 ,,,,,
period1,sc01,t0027, 0.000008927134 ,,,,,
period1,sc01,t0028, 0.000012846368 ,,,,,
period1,sc01,t0029, 0.00001219316 ,,,,,
period1,sc01,t0030, 0.000014152774 ,,,,,
period1,sc01,t0031, 0.0000522564 ,,,,,
period1,sc01,t0032, 0.000048119436 ,,,,,
period1,sc01,t0033, 0.000048119436 ,,,,,
period1,sc01,t0034, 5.5034220594 ,,,,,
period1,sc01,t0035, 13.117258062 ,,,,,
period1,sc01,t0036, 17.608571622 ,,,,,
period1,sc01,t0037, 19.444685178 ,,,,,
period1,sc01,t0038, 19.368136092 ,,,,,
period1,sc01,t0039, 17.847220068 ,,,,,
period1,sc01,t0040, 14.372489484 ,,,,,
period1,sc01,t0041, 8.360658366 ,,,,,
period1,sc01,t0042, 1.8282163152 ,,,,,
period1,sc01,t0043, 0.000416309326 ,,,,,
period1,sc01,t0044, 0.000033531192 ,,,,,
period1,sc01,t0045, 0.00001785427 ,,,,,
period1,sc01,t0046, 0.000009362604 ,,,,,
period1,sc01,t0047, 0.000009580342 ,,,,,
period1,sc01,t0048, 0.000008927134 ,,,,,
period1,sc01,t0049, 0.000009144872 ,,,,,
period1,sc01,t0050, 0.000008273932 ,,,,,
period1,sc01,t0051, 0.000009798076 ,,,,,
period1,sc01,t0052, 0.000009798076 ,,,,,
period1,sc01,t0053, 0.000009362604 ,,,,,
period1,sc01,t0054, 0.000017636536 ,,,,,
period1,sc01,t0055, 0.000052909608 ,,,,,
period1,sc01,t0056, 0.000048119436 ,,,,,
period1,sc01,t0057, 0.000048119436 ,,,,,
period1,sc01,t0058, 5.527531857 ,,,,,
period1,sc01,t0059, 13.715502414 ,,,,,
period1,sc01,t0060, 18.249600882 ,,,,,
period1,sc01,t0061, 20.010367254 ,,,,,
period1,sc01,t0062, 20.258062596 ,,,,,
period1,sc01,t0063, 19.155400272 ,,,,,
period1,sc01,t0064, 16.266072012 ,,,,,
period1,sc01,t0065, 10.181950698 ,,,,,
period1,sc01,t0066, 2.4131352762 ,,,,,
period1,sc01,t0067, 0.000455283894 ,,,,,
period1,sc01,t0068, 0.000034837598 ,,,,,
period1,sc01,t0069, 0.00002003162 ,,,,,
period1,sc01,t0070, 0.00001045128 ,,,,,
period1,sc01,t0071, 0.000009362604 ,,,,,
period1,sc01,t0072, 0.0000087094 ,,,,,
period1,sc01,t0073, 0.000008927134 ,,,,,
period1,sc01,t0074, 0.000008273932 ,,,,,
period1,sc01,t0075, 0.000010015812 ,,,,,
period1,sc01,t0076, 0.000011104482 ,,,,,
period1,sc01,t0077, 0.000010669014 ,,,,,
period1,sc01,t0078, 0.000015241452 ,,,,,
period1,sc01,t0079, 0.000050732256 ,,,,,
period1,sc01,t0080, 0.000048119436 ,,,,,
period1,sc01,t0081, 0.000048119436 ,,,,,
period1,sc01,t0082, 5.2368490944 ,,,,,
period1,sc01,t0083, 13.136854212 ,,,,,
period1,sc01,t0084, 17.729388414 ,,,,,
period1,sc01,t0085, 19.69083243 ,,,,,
period1,sc01,t0086, 19.950350778 ,,,,,
period1,sc01,t0087, 18.886867698 ,,,,,
period1,sc01,t0088, 16.071972156 ,,,,,
period1,sc01,t0089, 10.130889666 ,,,,,
period1,sc01,t0090, 2.447049681 ,,,,,
period1,sc01,t0091, 0.00053954734 ,,,,,
period1,sc01,t0092, 0.00002220897 ,,,,,
period1,sc01,t0093, 0.000010015812 ,,,,,
period1,sc01,t0094, 0.000007838462 ,,,,,
period1,sc01,t0095, 0.000010015812 ,,,,,
period1,sc01,t0096, 0.000010233544 ,,,,,
period1,sc01,t0097, 0.000008491664 ,,,,,
period1,sc01,t0098, 0.000008056196 ,,,,,
period1,sc01,t0099, 0.000009580342 ,,,,,
period1,sc01,t0100, 0.000010233544 ,,,,,
period1,sc01,t0101, 0.000011975424 ,,,,,
period1,sc01,t0102, 0.00001785427 ,,,,,
period1,sc01,t0103, 0.000051167728 ,,,,,
period1,sc01,t0104, 0.000048119436 ,,,,,
period1,sc01,t0105, 0.000048119436 ,,,,,
period1,sc01,t0106, 4.5369333912 ,,,,,
period1,sc01,t0107, 11.468339994 ,,,,,
period1,sc01,t0108, 15.51089517 ,,,,,
period1,sc01,t0109, 17.416477086 ,,,,,
period1,sc01,t0110, 18.00600768 ,,,,,
period1,sc01,t0111, 17.296973226 ,,,,,
period1,sc01,t0112, 14.889122376 ,,,,,
period1,sc01,t0113, 9.42833502 ,,,,,
period1,sc01,t0114, 2.2588417194 ,,,,,
period1,sc01,t0115, 0.000433945862 ,,,,,
period1,sc01,t0116, 0.00001611239 ,,,,,
period1,sc01,t0117, 0.000013499572 ,,,,,
period1,sc01,t0118, 0.000008056196 ,,,,,
period1,sc01,t0119, 0.000009580342 ,,,,,
period1,sc01,t0120, 0.000008273932 ,,,,,
period1,sc01,t0121, 0.000013281836 ,,,,,
period1,sc01,t0122, 0.000012846368 ,,,,,
period1,sc01,t0123, 0.000010669014 ,,,,,
period1,sc01,t0124, 0.000011322222 ,,,,,
period1,sc01,t0125, 0.000011322222 ,,,,,
period1,sc01,t0126, 0.00001567692 ,,,,,
period1,sc01,t0127, 0.00004485341 ,,,,,
period1,sc01,t0128, 0.000048119436 ,,,,,
period1,sc01,t0129, 0.000048119436 ,,,,,
period1,sc01,t0130, 3.3183794418 ,,,,,
period1,sc01,t0131, 8.805504036 ,,,,,
period1,sc01,t0132, 12.203594094 ,,,,,
period1,sc01,t0133, 13.601492004 ,,,,,
period1,sc01,t0134, 14.256924444 ,,,,,
period1,sc01,t0135, 13.954634226 ,,,,,
period1,sc01,t0136, 12.075755334 ,,,,,
period1,sc01,t0137, 7.445015172 ,,,,,
period1,sc01,t0138, 1.6684554336 ,,,,,
period1,sc01,t0139, 0.000417398004 ,,,,,
period1,sc01,t0140, 0.000023733116 ,,,,,
period1,sc01,t0141, 0.000010669014 ,,,,,
period1,sc01,t0142, 0.000008056196 ,,,,,
period1,sc01,t0143, 0.00001045128 ,,,,,
period1,sc01,t0144, 0.000010886752 ,,,,,
period1,sc01,t0145, 0.000011322222 ,,,,,
period1,sc01,t0146, 0.000011104482 ,,,,,
period1,sc01,t0147, 0.000008056196 ,,,,,
period1,sc01,t0148, 0.000011975424 ,,,,,
period1,sc01,t0149, 0.00001219316 ,,,,,
period1,sc01,t0150, 0.00001437051 ,,,,,
period1,sc01,t0151, 0.000035273072 ,,,,,
period1,sc01,t0152, 0.000048119436 ,,,,,
period1,sc01,t0153, 0.000048119436 ,,,,,
period1,sc01,t0154, 2.498783517 ,,,,,
period1,sc01,t0155, 6.879947112 ,,,,,
period1,sc01,t0156, 10.869259548 ,,,,,
period1,sc01,t0157, 13.642761498 ,,,,,
period1,sc01,t0158, 14.972811012 ,,,,,
period1,sc01,t0159, 14.63664558 ,,,,,
period1,sc01,t0160, 12.534788622 ,,,,,
period1,sc01,t0161, 7.833410868 ,,,,,
period1,sc01,t0162, 1.8681336744 ,,,,,
period1,sc01,t0163, 0.0004515824 ,,,,,
period1,sc01,t0164, 0.000033748928 ,,,,,
period1,sc01,t0165, 0.000019378416 ,,,,,
period1,sc01,t0166, 0.000010886752 ,,,,,
period1,sc01,t0167, 0.000009798076 ,,,,,
period1,sc01,t0168, 0.000009798076 ,,,,,
period1,sc01,t0169, 0.000009580342 ,,,,,
period1,sc01,t0170, 0.00001045128 ,,,,,
period1,sc01,t0171, 0.000010233544 ,,,,,
period1,sc01,t0172, 0.000011757692 ,,,,,
period1,sc01,t0173, 0.000009580342 ,,,,,
period1,sc01,t0174, 0.00001785427 ,,,,,
period1,sc01,t0175, 0.000047683968 ,,,,,
period1,sc01,t0176, 0.000409559544 ,,,,,
period1,sc01,t0177, 0.17576440464 ,,,,,
period1,sc01,t0178, 3.547837299 ,,,,,
period1,sc01,t0179, 9.509972574 ,,,,,
period1,sc01,t0180, 13.591739658 ,,,,,
period1,sc01,t0181, 15.671727312 ,,,,,
period1,sc01,t0182, 16.694607168 ,,,,,
period1,sc01,t0183, 16.269305388 ,,,,,
period1,sc01,t0184, 14.087711688 ,,,,,
period1,sc01,t0185, 9.068340672 ,,,,,
period1,sc01,t0186, 2.3261479638 ,,,,,
period1,sc01,t0187, 0.000738992606 ,,,,,
period1,sc01,t0188, 0.000033531192 ,,,,,
period1,sc01,t0189, 0.00002003162 ,,,,,
period1,sc01,t0190, 0.000008491664 ,,,,,
period1,sc01,t0191, 0.00000740299 ,,,,,
period1,sc01,t0192, 0.000010015812 ,,,,,
period1,sc01,t0193, 0.000010669014 ,,,,,
period1,sc01,t0194, 0.000011104482 ,,,,,
period1,sc01,t0195, 0.000009798076 ,,,,,
period1,sc01,t0196, 0.000010669014 ,,,,,
period1,sc01,t0197, 0.00001045128 ,,,,,
period1,sc01,t0198, 0.000014588246 ,,,,,
period1,sc01,t0199, 0.00005051452 ,,,,,
period1,sc01,t0200, 0.000412172364 ,,,,,
period1,sc01,t0201, 0.25451480076 ,,,,,
period1,sc01,t0202, 4.9142311392 ,,,,,
period1,sc01,t0203, 12.299157972 ,,,,,
period1,sc01,t0204, 16.513558338 ,,,,,
period1,sc01,t0205, 18.625735932 ,,,,,
period1,sc01,t0206, 19.438277232 ,,,,,
period1,sc01,t0207, 18.722632362 ,,,,,
period1,sc01,t0208, 16.271121294 ,,,,,
period1,sc01,t0209, 10.78719087 ,,,,,
period1,sc01,t0210, 2.9564712042 ,,,,,
period1,sc01,t0211, 0.000989605594 ,,,,,
period1,sc01,t0212, 0.000032442516 ,,,,,
period1,sc01,t0213, 0.000023950852 ,,,,,
period1,sc01,t0214, 0.000009798076 ,,,,,
period1,sc01,t0215, 0.000011539956 ,,,,,
period1,sc01,t0216, 0.000008056196 ,,,,,
period1,sc01,t0217, 0.000009144872 ,,,,,
period1,sc01,t0218, 0.00001219316 ,,,,,
period1,sc01,t0219, 0.0000087094 ,,,,,
period1,sc01,t0220, 0.000010886752 ,,,,,
period1,sc01,t0221, 0.000010886752 ,,,,,
period1,sc01,t0222, 0.000017201066 ,,,,,
period1,sc01,t0223, 0.000035490808 ,,,,,
period1,sc01,t0224, 0.000375375148 ,,,,,
period1,sc01,t0225, 0.28108718076 ,,,,,
period1,sc01,t0226, 5.3553731436 ,,,,,
period1,sc01,t0227, 13.168064346 ,,,,,
period1,sc01,t0228, 17.341227882 ,,,,,
period1,sc01,t0229, 19.040841186 ,,,,,
period1,sc01,t0230, 19.343582112 ,,,,,
period1,sc01,t0231, 18.382926558 ,,,,,
period1,sc01,t0232, 15.884352072 ,,,,,
period1,sc01,t0233, 10.302839346 ,,,,,
period1,sc01,t0234, 2.6616275274 ,,,,,
period1,sc01,t0235, 0.000637745826 ,,,,,
period1,sc01,t0236, 0.00003135384 ,,,,,
period1,sc01,t0237, 0.00002046709 ,,,,,
period1,sc01,t0238, 0.0000087094 ,,,,,
period1,sc01,t0239, 0.000009798076 ,,,,,
period1,sc01,t0240, 0.000011539956 ,,,,,
period1,sc01,t0241, 0.000010233544 ,,,,,
period1,sc01,t0242, 0.000010233544 ,,,,,
period1,sc01,t0243, 0.000009580342 ,,,,,
period1,sc01,t0244, 0.000010886752 ,,,,,
period1,sc01,t0245, 0.000011104482 ,,,,,
period1,sc01,t0246, 0.00001654786 ,,,,,
period1,sc01,t0247, 0.0000304829 ,,,,,
period1,sc01,t0248, 0.00037472194 ,,,,,
period1,sc01,t0249, 0.22629634452 ,,,,,
period1,sc01,t0250, 4.3071097392 ,,,,,
period1,sc01,t0251, 10.987359018 ,,,,,
period1,sc01,t0252, 15.431419716 ,,,,,
period1,sc01,t0253, 17.394666582 ,,,,,
period1,sc01,t0254, 18.257262978 ,,,,,
period1,sc01,t0255, 17.738030322 ,,,,,
period1,sc01,t0256, 15.474224244 ,,,,,
period1,sc01,t0257, 9.91168713 ,,,,,
period1,sc01,t0258, 2.676938652 ,,,,,
period1,sc01,t0259, 0.0309096612 ,,,,,
period1,sc01,t0260, 0.000032442516 ,,,,,
period1,sc01,t0261, 0.00002220897 ,,,,,
period1,sc01,t0262, 0.000013499572 ,,,,,
period1,sc01,t0263, 0.000010015812 ,,,,,
period1,sc01,t0264, 0.000009798076 ,,,,,
period1,sc01,t0265, 0.000010015812 ,,,,,
period1,sc01,t0266, 0.000009362604 ,,,,,
period1,sc01,t0267, 0.000010669014 ,,,,,
period1,sc01,t0268, 0.000009798076 ,,,,,
period1,sc01,t0269, 0.000011104482 ,,,,,
period1,sc01,t0270, 0.000014152774 ,,,,,
period1,sc01,t0271, 0.0000261282 ,,,,,
period1,sc01,t0272, 0.000344456776 ,,,,,
period1,sc01,t0273, 0.16239329802 ,,,,,
period1,sc01,t0274, 3.5099514078 ,,,,,
period1,sc01,t0275, 10.223514132 ,,,,,
period1,sc01,t0276, 14.834919426 ,,,,,
period1,sc01,t0277, 17.08014183 ,,,,,
period1,sc01,t0278, 17.81827002 ,,,,,
period1,sc01,t0279, 16.766518506 ,,,,,
period1,sc01,t0280, 13.469864664 ,,,,,
period1,sc01,t0281, 7.49587371 ,,,,,
